Plats,År,Plac,Klass,#,Namn,Klubb,Märke/Anmälare,Varvtider,Varv,Tid
Tibro MK,2023,38,Motion 50-59,1334,Jonas Nordmark,Varbergs MK,Yamaha,21:03.9  21:24.7  21:16.7  ,3,03:45.4
,,,,,,,,,,
Tibro MK,2023,39,Ungdom E0,94,Wilje Bogren,Töreboda MK,Husqvarna,21:19.6  21:25.1  21:01.0  ,3,03:45.7
,,,,,,,,,,
Tibro MK,2023,40,Motion 60-,1517,Peter Elofsson,Skene MS,Husqvarna,21:37.2  21:10.9  20:59.7  ,3,03:47.9
,,,,,,,,,,
Tibro MK,2023,41,Motion 50-59,1333,Kenneth Pettersson,FMCK Skövde,GasGas,21:30.2  21:22.3  21:06.4  ,3,03:59.1
,,,,,,,,,,
Tibro MK,2023,42,Motion 50-59,1257,Kenneth Zimmerblad,Skene MS,Sherco,21:26.9  21:25.4  21:20.1  ,3,04:12.4
,,,,,,,,,,
Tibro MK,2023,43,Motion 50-59,1304,Henrik Karlsson,Stenungsunds MS,Sherco,21:50.7  21:23.2  21:08.8  ,3,04:22.8
,,,,,,,,,,
Tibro MK,2023,44,Motion 50-59,1260,Mathias Svensson,Skene MS,Husqvarna,21:29.5  21:32.8  21:23.7  ,3,04:26.1
,,,,,,,,,,
Tibro MK,2023,45,Motion 50-59,1216,Per Hedskog,SMK Trollhättan,Yamaha,21:58.5  20:56.9  21:39.2  ,3,04:34.8
,,,,,,,,,,
Tibro MK,2023,46,Motion 50-59,1221,Benny Andersson,Kullings MS,KTM,21:39.8  21:22.6  21:35.0  ,3,04:37.4
,,,,,,,,,,
Tibro MK,2023,47,Ungdom E0,61,Anton Magnusson,Norrahammars MK,KTM,21:24.2  21:54.0  21:23.5  ,3,04:41.8
,,,,,,,,,,
Tibro MK,2023,48,Motion 50-59,1233,Jimmy Öhlin,MK Ran,KTM,21:45.3  21:48.6  21:15.9  ,3,04:49.9
,,,,,,,,,,
Tibro MK,2023,49,Motion Dam,472,Vilma Norlander,Kullings MS,KTM / Speedequipment MX Team,21:48.1  21:47.0  21:31.6  ,3,05:06.8
,,,,,,,,,,
Tibro MK,2023,50,Motion 50-59,1251,Sören Larsson,FMCK Borås,KTM,21:58.3  21:47.7  21:21.1  ,3,05:07.2
,,,,,,,,,,
Tibro MK,2023,51,Motion 50-59,1293,Niclas Starck,Wäxjö MS,KTM,21:40.9  21:54.0  21:51.5  ,3,05:26.5
,,,,,,,,,,
Tibro MK,2023,52,Motion 50-59,1217,Tomas Karlsson,Skene MS,KTM,21:52.1  21:41.1  21:57.9  ,3,05:31.2
,,,,,,,,,,
Tibro MK,2023,53,Ungdom E0,34,Casper Eriksson,FMCK Skövde,KTM,20:20.8  23:03.6  22:25.7  ,3,05:50.1
,,,,,,,,,,
Tibro MK,2023,54,Ungdom E0,3,William Marcher,Hallsbergs MK,GasGas / Ljunggrens Motor,21:39.7  22:07.2  22:08.1  ,3,05:55.1
,,,,,,,,,,
Tibro MK,2023,55,Motion 50-59,1208,Marcus Ljung,SMK Trollhättan,KTM,22:06.4  22:22.7  21:54.0  ,3,06:23.2
,,,,,,,,,,
Tibro MK,2023,56,Motion 50-59,1378,Magnus Björkman,SMK Kolmården,KTM,22:24.5  22:14.9  21:44.7  ,3,06:24.2
,,,,,,,,,,
Tibro MK,2023,57,Motion 60-,1523,Mikael Kristensson,MCK Hallandia,Husqvarna,22:02.0  22:00.6  22:23.9  ,3,06:26.7
,,,,,,,,,,
Tibro MK,2023,58,Motion 50-59,1307,Ulf Johannesson,FMCK Borås,Husqvarna,22:41.6  22:22.0  21:52.1  ,3,06:55.7
,,,,,,,,,,
Tibro MK,2023,59,Motion 50-59,1275,Peter Franzén,Kortedala MK,KTM,22:42.8  22:16.0  22:01.6  ,3,07:00.5
,,,,,,,,,,
Tibro MK,2023,60,Ungdom E0,92,Algot Hessel,Tidaholms MK,Husqvarna,21:09.9  21:57.9  23:53.7  ,3,07:01.7
,,,,,,,,,,
Tibro MK,2023,61,Motion 60-,1500,Tommy Berndtsson,SMK Trollhättan,Yamaha,23:02.3  22:04.8  22:04.4  ,3,07:11.6
,,,,,,,,,,
Tibro MK,2023,62,Motion 50-59,1457,Magnus Persson,Götene MK,KTM,21:57.7  22:15.4  23:01.4  ,3,07:14.7
,,,,,,,,,,
Tibro MK,2023,63,Motion 50-59,1262,Jörgen Petersson,Oskarshamns MSK,Husqvarna,22:29.4  21:50.9  23:30.8  ,3,07:51.2
,,,,,,,,,,
Tibro MK,2023,64,Motion 60-,1508,Berth-Åke Åhman,FMCK Borås,Husqvarna,23:11.7  22:22.8  22:18.5  ,3,07:53.0
,,,,,,,,,,
Tibro MK,2023,65,Motion 60-,1511,Håkan Persson,MK Ran,KTM,22:47.0  22:54.6  22:36.5  ,3,08:18.1
,,,,,,,,,,
Tibro MK,2023,66,Ungdom E0,20,Albin Glansén,Tidaholms MK,Yamaha / Team ATV Racing,24:21.0  22:13.2  21:59.0  ,3,08:33.3
,,,,,,,,,,
Tibro MK,2023,67,Motion 50-59,1270,Mikael Almqvist,Lidköpings MCK,Sherco,22:52.3  22:58.2  22:47.2  ,3,08:37.9
,,,,,,,,,,
Tibro MK,2023,68,Motion 50-59,1346,Fredrik Langvall,Skene MS,KTM,23:11.2  22:52.7  22:39.1  ,3,08:43.2
,,,,,,,,,,
Tibro MK,2023,69,Motion 50-59,1376,Karl Essgärde,Götene MK,KTM,22:49.3  22:52.4  23:03.1  ,3,08:44.9
,,,,,,,,,,
Tibro MK,2023,70,Motion 50-59,1220,Lennart Bodin,FMCK Borås,KTM,23:37.6  23:12.4  22:17.9  ,3,09:08.0
,,,,,,,,,,
Tibro MK,2023,71,Motion 50-59,1273,Jan-Eric Höög,Skene MS,Sherco / Team VIXUS MC,23:16.3  22:36.3  23:19.2  ,3,09:11.9
,,,,,,,,,,
Tibro MK,2023,72,Motion 50-59,1254,Jörgen Rutgersson,Stenungsunds MS,KTM,24:06.5  22:27.2  22:46.4  ,3,09:20.2
,,,,,,,,,,
Tibro MK,2023,73,Motion 60-,1514,Karl-Axel Andersson,FMCK Borås,KTM,23:58.9  23:01.9  22:22.8  ,3,09:23.7
,,,,,,,,,,
Tibro MK,2023,74,Motion 50-59,1223,Roger Wallgren,FMCK Skövde,Sherco,23:12.2  23:08.2  23:05.8  ,3,09:26.3
,,,,,,,,,,
Tibro MK,2023,75,Motion 50-59,1449,Jonas Eriksson,Skene MS,KTM,23:42.8  22:13.3  23:47.5  ,3,09:43.6
,,,,,,,,,,
Tibro MK,2023,76,Motion 50-59,1268,Daniel Johansson,Töreboda MK,KTM,23:36.6  23:13.2  23:03.6  ,3,09:53.5
,,,,,,,,,,
Tibro MK,2023,77,Motion 60-,1524,Mikael Thräff,Götene MK,Husqvarna,23:41.1  23:48.5  22:52.7  ,3,10:22.5
,,,,,,,,,,
Tibro MK,2023,78,Ungdom E0,51,Felix Baldesten Kjellström,Tibro MK,KTM,23:26.0  24:00.1  23:07.1  ,3,10:33.3
,,,,,,,,,,
Tibro MK,2023,79,Ungdom E0,2,Elvira Auvinen,FMCK Skövde,Husqvarna,24:44.8  23:03.3  22:46.1  ,3,10:34.3
,,,,,,,,,,
Tibro MK,2023,80,Ungdom E0,27,Max Linder,Tibro MK,Husqvarna,23:28.5  23:06.5  24:07.8  ,3,10:42.8
,,,,,,,,,,
Tibro MK,2023,81,Motion 50-59,1259,Markus Hansson,FMCK Borås,Husqvarna,22:47.8  23:22.7  24:43.4  ,3,10:53.9
,,,,,,,,,,
Tibro MK,2023,82,Motion 60-,1506,Lars-Gunnar Skogh,Falköpings MK,Husqvarna,23:59.7  23:45.7  23:22.3  ,3,11:07.8
,,,,,,,,,,
Tibro MK,2023,83,Motion 50-59,1265,Kenny Elfström,Örebro EK,Husqvarna,23:51.8  23:48.1  23:34.7  ,3,11:14.8
,,,,,,,,,,
Tibro MK,2023,84,Motion 50-59,1409,Anders Månsson,FMCK Borås,Husqvarna,24:06.9  23:27.5  23:48.0  ,3,11:22.4
,,,,,,,,,,
Tibro MK,2023,85,Ungdom E0,18,Filip Georgsson,Tibro MK,KTM,23:54.2  23:56.8  24:13.5  ,3,12:04.6
,,,,,,,,,,
Tibro MK,2023,86,Motion 50-59,1201,Anders Edin,Falköpings MK,Yamaha,24:21.1  23:56.9  23:52.8  ,3,12:10.8
,,,,,,,,,,
Tibro MK,2023,87,Ungdom E0,12,Benjamin Bengtsson,Falköpings MK,KTM,24:10.0  23:56.7  24:05.3  ,3,12:12.1
,,,,,,,,,,
Tibro MK,2023,88,Motion 60-,1697,Mats Karlsson,Kungsbacka MA,Sherco,24:01.8  24:41.6  24:42.5  ,3,13:26.1
,,,,,,,,,,
Tibro MK,2023,89,Motion 50-59,1256,Jim Larsson,Stenungsunds MS,,23:58.0  24:12.4  25:36.5  ,3,13:46.9
,,,,,,,,,,
Tibro MK,2023,90,Ungdom E0,38,Liam Nilsson,Tidaholms MK,Husqvarna,25:02.5  25:47.7  24:00.8  ,3,14:51.0
,,,,,,,,,,
Tibro MK,2023,91,Motion 60-,1507,Thomas Gustafsson,Älvbygdens MK,KTM,25:59.6  25:07.2  24:43.0  ,3,15:49.9
,,,,,,,,,,
Tibro MK,2023,92,Motion 50-59,1250,Rikard Bengtsson,FMCK Borås,Husqvarna,25:21.7  25:26.3  25:09.2  ,3,15:57.4
,,,,,,,,,,
Tibro MK,2023,93,Motion 50-59,1252,Richard Kling,MK Pionjär,GasGas,26:12.1  25:29.5  24:16.8  ,3,15:58.6
,,,,,,,,,,
Tibro MK,2023,94,Motion 50-59,1313,Claes Hilmersson,Stenungsunds MS,KTM,26:37.7  25:06.3  24:16.1  ,3,16:00.2
,,,,,,,,,,
Tibro MK,2023,95,Ungdom E0,11,Alicia Isaksson,Falköpings MK,Suzuki,25:23.4  26:07.5  25:10.2  ,3,16:41.2
,,,,,,,,,,
Tibro MK,2023,96,Motion 50-59,1400,Joakim Liljeblad,SMK Motala MC-Klubb,KTM,23:26.6  29:08.9  24:11.4  ,3,16:47.0
,,,,,,,,,,
Tibro MK,2023,97,Ungdom E0,50,Wilmer Kihlgren,Hjo MK,KTM,26:21.2  25:17.5  25:17.4  ,3,16:56.2
,,,,,,,,,,
